Mean,Time
48.40656444,6010.952523
52.74357838,6011.026892
60.78644519,6011.060757
53.3220841,6011.101262
50.33567205,6011.15239
54.48090635,6011.170651
61.01057746,6011.196879
55.68663922,6011.288845
57.94724121,6011.322377
58.49938673,6011.329681
65.45108709,6011.351926
60.90270294,6011.370186
61.65780384,6011.394422
63.52013796,6011.404714
60.28192978,6011.455843
61.71979201,6011.466467
56.75907389,6011.482072
55.70581453,6011.48506
53.19076197,6011.546149
59.21769714,6011.565737
67.10143512,6011.589641
66.78957142,6011.604914
60.52241566,6011.727424
53.55707034,6011.834661
50.1706326,6011.888778
51.11206787,6011.897742
50.17127854,6011.904382
79.41352308,6011.992032
60.00548723,6012.246016
67.18076928,6012.2583
69.21129992,6012.341965
67.01234914,6012.361222
65.09882431,6012.383466
71.16647525,6012.447211
66.18413086,6012.538845
59.93162973,6012.542829
64.17657353,6012.561421
59.70705324,6012.592297
65.17860413,6012.752656
68.06794287,6012.808433
53.38367965,6012.835989
50.24283395,6012.862882
59.7345626,6012.948207
70.57033835,6012.954515
69.23363797,6012.999668
74.65053136,6013.057769
70.21920636,6013.069057
66.9651559,6013.077689
66.18413086,6013.091633
66.9861438,6013.098274
65.67835693,6013.104914
61.95730591,6013.112882
69.29722098,6013.123506
67.18698844,6013.135126
66.42153495,6013.328353
69.24934317,6013.333001
70.67640859,6013.350266
68.49624023,6013.396082
64.94980164,6013.398738
58.51623688,6013.406707
65.96655877,6013.422643
70.73791771,6013.452191
71.77172852,6013.4917
70.66818884,6013.498672
71.91955735,6013.542829
56.92124268,6013.552457
49.06296094,6013.555777
53.47053986,6013.564077
47.88089502,6013.580013
52.03450317,6013.596614
54.28640137,6013.620518
52.20767392,6013.630478
53.9010498,6013.65405
59.71343587,6013.658699
64.81771212,6013.661687
62.83824181,6013.86421
64.881763,6013.872842
64.75564525,6013.899402
62.46681708,6013.980412
65.08573294,6013.999668
62.72784407,6014.065405
65.16315865,6014.089641
54.56853376,6014.104914
51.61257473,6014.111886
62.81072538,6014.182935
61.72141975,6014.203187
62.5891737,6014.208831
63.04562302,6014.311753
61.90373872,6014.322377
69.7569378,6014.332005
69.48821945,6014.36089
59.51796769,6014.392762
54.31756951,6014.400398
61.08604229,6014.406042
63.59142569,6014.457171
64.30554199,6014.491368
65.01449006,6014.499668
66.09672185,6014.538513
68.30210479,6014.606574
62.36807997,6014.639442
56.85428106,6014.648406
62.4047213,6014.742696
68.09977276,6014.751328
68.81299922,6014.816069
65.01362549,6015.00166
67.439534,6015.01162
75.80910026,6015.016932
77.29771473,6015.064077
66.50008648,6015.078353
68.32420829,6015.097942
72.40907972,6015.104914
69.394247,6015.294157
66.5860405,6015.298805
63.07184184,6015.309429
66.33748505,6015.331673
64.61203633,6015.347942
68.33108956,6015.38911
72.07901317,6015.623838
69.87517835,6015.633466
70.25694195,6015.711819
69.56028117,6015.724436
67.39106824,6015.883466
64.68447103,6015.907039
61.61324201,6015.921979
68.91481176,6015.949867
69.9044275,6015.978752
55.1756742,6016.121846
50.03877619,6016.134794
53.66639607,6016.142098
53.70795877,6016.248008
54.95594971,6016.363546
53.29971491,6016.370186
62.51552183,6016.380478
66.88578392,6016.401062
67.99498215,6016.603254
66.77736945,6016.613878
67.45985527,6016.620186
68.53353232,6016.641434
66.60801758,6016.651726
65.73037939,6016.661687
56.71389217,6016.678287
69.06379607,6016.692563
65.49906141,6016.715471
64.22820031,6016.724436
56.87467936,6016.818725
59.78906957,6016.833665
63.76485911,6016.871514
61.85165233,6016.901062
66.93903457,6016.918659
61.9163623,6016.960159
55.52179314,6016.97012
64.49340088,6016.987052
69.24189551,6016.990372
68.80589774,6016.998672
69.35187282,6017.021912
65.12209267,6017.034529
67.55060778,6017.089641
67.73627982,6017.184263
70.38796609,6017.230412
66.82036235,6017.24502
64.1054556,6017.268924
69.68049138,6017.277556
70.53997977,6017.291169
63.65044434,6017.298141
63.88416844,6017.412683
67.65232031,6017.527224
60.44326838,6017.543825
63.51711869,6017.547477
59.18415091,6017.611554
58.36011789,6017.639442
57.43897579,6017.64409
64.69451528,6017.653718
65.36809226,6017.697875
62.96885376,6017.703519
62.58738985,6017.728752
63.58300781,6017.770916
67.03052804,6017.774568
55.55643999,6017.802457
55.35799544,6017.835989
57.69435425,6017.860226
59.2556747,6017.86421
63.88902229,6017.949535
59.61452291,6017.972112
57.35973801,6018.007304
59.46456299,6018.027556
62.78397001,6018.030876
67.9970348,6018.047809
69.78131888,6018.051461
69.99990782,6018.060757
67.0804921,6018.145086
60.45578957,6018.167995
55.71641693,6018.189243
62.6047716,6018.210491
63.36726521,6018.312749
62.90282908,6018.336321
70.07111982,6018.355578
60.2448999,6018.375166
63.32075467,6018.381806
60.5128944,6018.408699
61.15973933,6018.445219
61.92768201,6018.449535
59.78192927,6018.515936
53.35989662,6018.542165
48.20320632,6018.686587
47.62594993,6018.780876
49.50391323,6018.791833
51.85643181,6018.794157
52.04975667,6018.825365
60.25935059,6018.855246
62.76062127,6018.858566
68.98125168,6018.935923
68.20256505,6018.964807
69.32887486,6018.9751
57.39329834,6018.982072
49.61751964,6018.992032
49.39411197,6019.096946
53.45307861,6019.142762
57.18733457,6019.146082
56.66113037,6019.165339
57.63272633,6019.171979
62.78377385,6019.183267
65.53686066,6019.226428
64.83330609,6019.242364
70.00435324,6019.265272
74.31665446,6019.333001
67.69446037,6019.338977
67.14815633,6019.369854
67.42067037,6019.419323
62.44140381,6019.445551
57.89547757,6019.448871
51.10665995,6019.471116
54.95583592,6019.525232
64.17441542,6019.567397
67.10747324,6019.603254
68.89461043,6019.654382
70.25870754,6019.666667
70.16993135,6019.703851
72.54243164,6019.726096
62.50554701,6019.739708
57.43296688,6020.083997
62.33749651,6020.095286
70.41963742,6020.116202
71.07684688,6020.159031
69.91533732,6020.212815
73.49284198,6020.284861
68.51309937,6020.36255
63.11906481,6020.38247
60.54208135,6020.395086
66.19339412,6020.402722
67.64872717,6020.428619
61.31030939,6020.465471
58.6422105,6020.469124
62.26799561,6020.583997
70.24456942,6020.587317
61.52312855,6020.658035
70.26049402,6020.676295
70.98818034,6020.706507
70.46115786,6020.721448
70.23525665,6020.747012
61.87223334,6020.815073
70.17676379,6020.825365
70.83725098,6020.872842
70.28068071,6020.879482
61.62206559,6020.967131
59.19361267,6020.998008
58.52879311,6021.00332
66.40593205,6021.030544
64.1879531,6021.059097
60.99693756,6021.092961
56.08760406,6021.108898
59.17554932,6021.12915
61.45481623,6021.13247
65.66069499,6021.143426
61.82828195,6021.158367
55.64991094,6021.160691
56.12821259,6021.219124
55.61992059,6021.26826
56.0742103,6021.287185
56.4465933,6021.304449
56.9784803,6021.308765
63.74636337,6021.368194
65.59124767,6021.37583
65.98984945,6021.411355
68.48707639,6021.441235
69.81431774,6021.509296
69.33211311,6021.520252
62.26209807,6021.537185
63.80834051,6021.676295
61.21531889,6021.754648
63.58300781,6021.758964
61.25776145,6021.762616
63.69291442,6021.766268
66.81097808,6021.789841
65.49224964,6021.814409
67.30302665,6021.825365
68.10835346,6021.860226
67.19567871,6021.866534
70.79701574,6021.885458
63.42405029,6021.90239
52.89592448,6021.90571
46.1491392,6021.920651
51.02087907,6021.988712
51.10934528,6021.99834
60.67480774,6022.021248
60.29999313,6022.037185
66.28262879,6022.047809
68.63233662,6022.121846
68.91419847,6022.184595
70.08183818,6022.206175
67.02455219,6022.242364
63.66328939,6022.267596
61.40577148,6022.270584
61.84892578,6022.385126
69.25156168,6022.399402
69.07378347,6022.438911
64.38057439,6022.637118
64.54939728,6022.688911
62.68261907,6022.747344
60.33038966,6022.75166
64.27888539,6022.830677
55.29660184,6022.864874
57.4270166,6022.912351
58.38654199,6022.923971
66.87470039,6022.940571
63.66971191,6023.012616
60.04259033,6023.015936
58.32821378,6023.018592
60.83341884,6023.022244
60.81412396,6023.094954
50.06462639,6023.152722
51.92474679,6023.163015
53.42417725,6023.197875
62.59072754,6023.201195
66.65960496,6023.206175
65.79075114,6023.216467
68.31172868,6023.2583
69.66504553,6023.317065
57.93710038,6023.328353
60.56150124,6023.347278
61.53551485,6023.35093
66.72362305,6023.376494
71.57092785,6023.381474
71.08488787,6023.409031
57.33746615,6023.593625
58.34376797,6023.63745
58.33231434,6023.720452
61.26576802,6023.777888
62.10422119,6023.833997
68.27888284,6023.843958
61.60568757,6023.968792
64.74472943,6024.022244
68.98756348,6024.039177
69.26131615,6024.047477
58.35366669,6024.118526
58.56440582,6024.150398
58.47469116,6024.182271
54.03838509,6024.195551
55.29554077,6024.329349
53.9819206,6024.335989
61.00211572,6024.444555
67.21822588,6024.527556
69.60068534,6024.574369
66.46600839,6024.583665
62.57145996,6024.664343
59.47488491,6024.667663
58.98338597,6024.672311
54.88299987,6024.703519
