"duration_temp","num_temp","seqlen","seqrate","everate","300win","corr_duration","start_time","channel","shift","scale"
7.53685,1131,1613,214.015071942958100000000,150.062644989141720000000,1.9991650821675675000000000,5.537687277604161,1459.48046875000000000,154,8.34719657897949200,0.95371717214584350
7.16633,1124,1477,206.312853800643750000000,157.004500793448590000000,1.9107732484349154000000000,5.255561380623923,492.04879760742190000,251,1.91000652313232420,0.95155054330825810
7.55478,725,918,201.546464702721980000000,159.173406219469970000000,1.8847369489998653000000000,5.670044011083142,356.40570068359375000,511,2.03599333763122560,0.91484999656677250
8.83201,1273,1635,185.331172028579800000000,144.297603665065500000000,2.0790366047681643000000000,6.752968896025292,144.76428222656250000,30,6.32930707931518550,0.94395482540130620
9.01295,1312,1631,180.961877673131280000000,145.568352855394400000000,2.0608875082760320000000000,6.952060527917816,843.10424804687500000,123,-2.50932216644287100,0.93078637123107910
8.68958,1229,1541,177.338933764135700000000,141.433841399171170000000,2.1211330826637510000000000,6.568442112648749,450.98837280273440000,438,0.90427237749099730,0.94590377807617190
18.1746,2512,3213,176.784843919077250000000,138.214605641058850000000,2.1705376114814903000000000,16.00409732199019,331.90737915039060000,15,-0.93767136335372920,0.92458254098892210
9.52357,1208,1633,171.469277018490230000000,126.843163893653530000000,2.3651254887612450000000000,7.158446479317368,485.06607055664060000,283,9.22567272186279300,0.93844974040985110
10.6477,1522,1774,166.608089750735500000000,142.941100676786600000000,2.0987665449586084000000000,8.548975726464732,768.22674560546880000,176,2.80022430419921880,0.92861795425415040
8.82105,779,963,165.405788866143780000000,133.801775209476660000000,2.2421227187033030000000000,6.578926017868962,411.13812255859375000,487,-2.09161257743835450,0.97859460115432740
7.51062,591,746,165.387319196943930000000,131.024002205621800000000,2.2896568182156170000000000,5.220967113669149,1142.42895507812500000,13,3.69099998474121100,0.91435098648071290
7.13845,578,679,164.031752877535400000000,139.632331610037500000000,2.1484995383292333000000000,4.989946792694937,704.81274414062500000,47,0.97170889377593990,0.93511247634887700
10.1258,1332,1637,161.665764588231980000000,131.544776073014670000000,2.2805922740214580000000000,7.845237422633815,436.90704345703125000,350,-2.40920519828796400,0.93001693487167360
14.2042,1763,2253,158.615240893649230000000,124.118362048603460000000,2.4170476877750215000000000,11.78713589071619,1342.17993164062500000,235,0.73797118663787840,0.91792201995849610
11.8987,1675,1853,155.861257817884540000000,140.889156419296600000000,2.1293334960937500000000000,9.769404411315918,199.06672668457030000,442,2.22110581398010250,0.93528246879577640
7.30146,532,662,153.901206952762700000000,123.678915557205070000000,2.4256357573028793000000000,4.87582498564756,968.64276123046880000,111,1.71409404277801510,0.93634521961212160
13.0305,1816,1968,151.029761885593730000000,139.364861577356800000000,2.1526229539106600000000000,10.8779213270952,708.20648193359380000,268,-0.02512045390903950,0.93833911418914800
7.7583,582,717,149.754112751057020000000,121.557731689142530000000,2.4679631302037190000000000,5.290337174209123,1088.18261718750000000,245,0.40024209022521970,0.95269566774368290
6.78519,451,534,140.509126770159040000000,118.669693208505110000000,2.5280254114493563000000000,4.2571670781746676,502.17166137695310000,396,6.70878267288208000,0.91274839639663700
12.6039,1638,1750,138.845713650993800000000,129.959587977330200000000,2.3084099039489970000000000,10.295508171612527,39.71746444702148400,138,1.83437764644622800,0.98160040378570560
7.60525,514,627,136.149090796135800000000,111.611854336864130000000,2.6878865312509497000000000,4.917359058959011,828.34265136718750000,217,6.20559597015380900,0.96258652210235600
5.32171,414,724,136.046420387868180000000,77.794500056046180000000,3.8563137469084365000000000,1.465399223825206,311.18856811523440000,385,8.87353897094726600,0.83590704202651980
6.78021,437,513,135.814006943709780000000,115.693413322419460000000,2.5930603254305145000000000,4.187152076913236,511.17861938476560000,480,6.69492340087890600,0.90178519487380980
7.86023,567,660,135.796163346228920000000,116.661249420169400000000,2.5715479775080605000000000,5.288677699982173,1452.07043457031250000,146,4.28206157684326200,0.93623250722885130
13.0422,1572,1764,135.253619832723760000000,120.532137401951090000000,2.4889627485784867000000000,10.553202053972782,715.50762939453120000,109,1.80686891078948970,0.91347980499267580
7.15969,486,559,134.934127317189850000000,117.313033767717830000000,2.5572606074957200000000000,4.60243406413514,79.82503509521484000,367,0.49206456542015076,0.94077163934707640
9.4741,458,873,134.851838727305140000000,70.747012757280360000000,4.2404617284583220000000000,5.233642199153983,154.49136352539062000,471,8.38970947265625000,0.78922891616821290
13.6365,1602,1824,133.759107912036900000000,117.479216488532400000000,2.5536431801899540000000000,11.0828114020244,162.53950500488280000,446,0.02656489983201027,0.91868436336517330
47.8997,5273,5945,124.113422807460720000000,110.084117487593000000000,2.7251887633455520000000000,45.17454573372476,278.20153808593750000,500,2.35876202583313000,0.94339990615844730
15.3011,1763,1895,123.847075327734370000000,115.220260581950230000000,2.6037087443195417000000000,12.69741964313163,1197.32568359375000000,205,2.99350428581237800,0.92296534776687620
8.73904,620,706,123.180908435390660000000,108.175868597651860000000,2.7732617624344367000000000,5.965782427018688,609.21447753906250000,299,3.20370650291442870,0.91580671072006230
15.6232,1704,1914,122.510319290859500000000,109.068748208790270000000,2.7505587524091695000000000,12.872614961274913,251.11587524414062000,465,4.06241130828857400,0.94087845087051390
8.0156,524,612,122.205254954310750000000,104.633257509900050000000,2.8671572226604430000000000,5.1484467965045955,885.93096923828120000,168,-0.50743126869201660,0.91608208417892460
7.83068,544,589,121.929066650609810000000,112.613603154383260000000,2.6639765676330116000000000,5.16670094167485,743.11950683593750000,292,2.12103724479675300,0.93904787302017210
