"duration_temp","num_temp","seqlen","seqrate","everate","300win","corr_duration","refpos","alignstrand"
23.7832,4318,6966,292.895810629142260000000,181.556719824380740000000,1.6523761846446063000000000,22.13082503300676,1200,"F"
14.2882,2448,3885,271.903062845796850000000,171.330424156116000000000,1.7510024940266329000000000,12.537177857230692,43797,"F"
24.1202,4100,6353,263.389346954797500000000,169.982106487434200000000,1.7648916477110328000000000,22.35529420433975,5148,"F"
9.42663,1426,2086,221.288056140223100000000,151.273618435262760000000,1.9831613939239800000000000,7.443465765194672,36321,"F"
28.7497,4604,6185,215.132918192176200000000,160.140979039091200000000,1.8733493562991677000000000,26.87631876503872,25169,"R"
29.1677,4625,6043,207.216870241264600000000,158.593087020660050000000,1.8916335234770905000000000,27.27603005074166,43774,"F"
70.6786,11282,14295,202.253526235137600000000,159.623944245178220000000,1.8794172855371110000000000,68.79920209922851,43625,"R"
37.0946,5599,7229,194.880013558022450000000,150.938331153875740000000,1.9875666949978512000000000,35.10705305597871,21383,"R"
39.2214,6127,7532,192.037789980943760000000,156.215552205688060000000,1.9204233878390793000000000,37.30102360312772,9991,"F"
34.9718,5068,6409,183.262053208447720000000,144.916849065441260000000,2.0701526560553813000000000,32.90162621357352,17677,"R"
22.747,3415,4097,180.111574515648000000000,150.129613612628220000000,1.9982733105147044000000000,20.748737874177678,6493,"R"
61.8453,9567,10907,176.359436136762470000000,154.692465895333870000000,1.9393316814988413000000000,59.905955641499204,10615,"F"
23.4861,3258,4042,172.102123392317850000000,138.720613065851440000000,2.1626202001975607000000000,21.323435173947946,9894,"R"
45.492,5966,7715,169.590141699320180000000,131.143847748301250000000,2.2875644199168006000000000,43.20446667749531,7483,"F"
17.824,2399,3019,169.378009399536380000000,134.593522540406670000000,2.2289334162417527000000000,15.595104135638131,16159,"F"
43.4914,5960,7332,168.585180196019620000000,137.038689848373850000000,2.1891627855748936000000000,41.302204554513,9620,"F"
55.8104,7768,9272,166.133836688181730000000,139.185466284921900000000,2.1553974564117210000000000,53.65502734827578,15952,"R"
17.8599,2353,2911,163.024231310751450000000,131.774653477910730000000,2.2766138409940020000000000,15.583279957834122,48495,"R"
15.251,2168,2401,157.432344569989100000000,142.154653489269630000000,2.1103776249058575000000000,13.14061801108047,26609,"R"
16.577,2248,2604,157.084886151233400000000,135.609379442385830000000,2.2122363602987813000000000,14.364788099540085,26297,"F"
44.5239,5960,6983,156.837104257709740000000,133.860681852491780000000,2.2411360516644163000000000,42.28276684140199,33721,"R"
34.7158,4356,5416,156.009632834974640000000,125.475989776430850000000,2.3908956648561253000000000,32.32490938885481,16339,"R"
34.656,4745,5394,155.643846684059670000000,136.916954489407350000000,2.1911092100957420000000000,32.46493479625192,32385,"R"
30.49,3763,4684,153.623938401415000000000,123.417352733673040000000,2.4307764941886356000000000,28.05926333125082,31382,"R"
34.8881,4417,5359,153.605318340511560000000,126.604719371158720000000,2.3695799136879705000000000,32.51853501551125,48503,"R"
28.2776,3700,4301,152.151223680439070000000,130.890380752760900000000,2.2919942494985217000000000,25.985563123548353,48502,"R"
38.6049,4828,5751,148.970680963307870000000,125.061806240801670000000,2.3988139066403824000000000,36.206097897558834,6192,"R"
5.07968,623,751,147.843918029930730000000,122.645487260515110000000,2.4460745087404696000000000,2.6336068877439054,25264,"F"
6.58898,822,967,146.760255887808480000000,124.753805935655210000000,2.4047362543370600000000000,4.184241082546485,15409,"R"
47.591,5889,6952,146.078134855419200000000,123.741964350339980000000,2.4243998515381233000000000,45.16656923415523,30915,"F"
33.6232,4137,4895,145.584119468402550000000,123.040143460833780000000,2.4382286265416800000000000,31.184944133468086,15137,"F"
53.3639,6418,7754,145.304286933609350000000,120.268624392559300000000,2.4944161581227850000000000,50.869460184650656,48503,"R"
46.928,5642,6802,144.945585399047080000000,120.226843990212230000000,2.4952830003956790000000000,44.432672627045726,11225,"R"
40.1627,4863,5797,144.337971768945830000000,121.082552477554530000000,2.4776484626520570000000000,37.68503311693779,48471,"R"
15.5003,1812,2191,141.351812151593320000000,116.900722783517610000000,2.5662801123612766000000000,12.934051766300833,44835,"R"
25.3586,2914,3583,141.293476920077580000000,114.911859264612350000000,2.6106965975476686000000000,22.74786968663202,31941,"F"
37.2251,4480,5228,140.442867673047150000000,120.348899612710650000000,2.4927523306437900000000000,34.73234914030348,9709,"R"
17.1467,2051,2406,140.353502448381480000000,119.644652336504750000000,2.5074250636479727000000000,14.639320618114724,42933,"F"
28.7991,3399,4015,139.436404410130620000000,118.043421815699620000000,2.5414376793345412000000000,26.257699436143973,16498,"F"
57.6282,6528,7888,136.877539001282540000000,113.277963311406220000000,2.6483527001212630000000000,54.97980205451741,48394,"R"
38.5359,4341,5260,136.783802961439100000000,112.885644231104020000000,2.6575566985809810000000000,35.87830145571589,44910,"R"
28.1132,3403,3825,136.057013365721760000000,121.046278819229060000000,2.4783909338346620000000000,25.63482355896319,42209,"R"
19.255,2109,2605,135.289675096618140000000,109.530105481292760000000,2.7389729853883744000000000,16.516007101891898,9579,"F"
12.1172,1394,1633,134.767130263234830000000,115.043098338609520000000,2.6077183623567030000000000,9.509479628060777,48497,"R"
14.9359,1700,1993,133.436684853573580000000,113.819550552471200000000,2.6357510510612934000000000,12.300171571619371,5039,"R"
6.73108,828,897,133.262502382919220000000,123.011540661156220000000,2.4387955665588380000000000,4.292280197143555,37080,"F"
16.9774,1942,2260,133.117967199183820000000,114.387208982661500000000,2.6226708621369820000000000,14.354751852096417,37763,"R"
