"duration_temp","num_temp","seqlen","seqrate","everate","300win","corr_duration","start_time"
10.7417,1839,3078,286.546817597992970000000,171.201948525896370000000,1.7523165044737874000000000,8.989383667950529,3180.29785156250000000
11.001,1862,3097,281.519973507591430000000,169.257407384932260000000,1.7724482764747038000000000,9.228547359511625,3416.59497070312500000
5.45385,968,1505,275.951788647136540000000,177.489256751115080000000,1.6902431476214700000000000,3.763608075370473,126.37084960937500000
6.93891,1002,1578,268.557795819017030000000,170.529094683558360000000,1.7592305908659975000000000,5.1796803702851255,5098.78662109375000000
5.88778,972,1555,264.106241436576900000000,165.087631303120760000000,1.8172166965625904000000000,4.070565400300202,3268.32128906250000000
5.87384,999,1545,263.030749863760000000000,170.076193601227320000000,1.7639152996532910000000000,4.109922648192168,2050.66723632812500000
11.9246,1988,3121,261.727089962272540000000,166.713699085228370000000,1.7994921931798311000000000,10.12514274029185,4195.60888671875000000
3.81441,611,961,251.939421172512340000000,160.182087759006300000000,1.8728685847280848000000000,1.9415404328347814,1579.31604003906250000
5.96414,974,1485,248.987982217375450000000,163.309289346615260000000,1.8370051158771870000000000,4.127138160337413,2341.61523437500000000
6.29748,1025,1521,243.192067001462530000000,163.886830162063830000000,1.8305314692055308000000000,4.466945299288121,1105.90905761718750000
15.2832,2037,3006,242.645448459060800000000,164.427404694313650000000,1.8245133805871890000000000,13.458686883389863,3390.63085937500000000
8.07337,826,1229,241.612695775995950000000,162.385749968244620000000,1.8474527479084006000000000,6.225920092972947,74.89740753173828000
6.62915,1082,1578,238.039570762753160000000,163.218514299935950000000,1.8380267783145587000000000,4.791123135473283,3014.10595703125000000
13.157,1670,2515,236.606067566136910000000,157.110191982285730000000,1.9094878328060676000000000,11.2475508558536,3378.63574218750000000
12.5452,1582,2259,233.625457292716650000000,163.610214004903840000000,1.8336263528816616000000000,10.711526311302908,3940.47436523437500000
12.8526,1638,2280,231.786140628140320000000,166.520043135479740000000,1.8015849284636670000000000,11.051004678775103,4377.15966796875000000
10.7437,1244,1859,231.137588742632520000000,154.671952875650820000000,1.9395888809989120000000000,8.804102563398061,4012.27294921875000000
11.1544,1293,1897,230.700693384116930000000,157.246176355120300000000,1.9078365334778540000000000,9.246546172210623,2369.77856445312500000
11.328,1435,1936,230.611090044787570000000,170.933323457784180000000,1.7550703042060240000000000,9.572950745293488,2911.61499023437500000
10.2932,1188,1708,229.603500958653500000000,159.700795748759000000000,1.8785128689775563000000000,8.414647569560042,4609.55664062500000000
8.43194,921,1240,227.958977581293060000000,169.314692219653950000000,1.7718485978216614000000000,6.660090527239374,1118.57507324218750000
12.0979,1431,2182,226.166903987795650000000,148.324857748183120000000,2.0225874782858155000000000,10.07535392033479,4800.93701171875000000
11.9047,1567,2583,224.654097352670450000000,136.288412911976220000000,2.2012142748610564000000000,9.70350030948953,3320.03491210937500000
6.36985,1047,1431,224.651931736313940000000,164.367975211684600000000,1.8251730582775565000000000,4.544680915111115,3171.48217773437500000
11.7742,1571,2607,223.571669534608300000000,134.726157590667300000000,2.2267390784755930000000000,9.547497600601556,4006.24877929687500000
10.1394,1148,1577,220.957524448439440000000,160.849231494488580000000,1.8651006113776760000000000,8.27434183246998,5079.90478515625000000
11.7822,1561,2391,218.081085975684540000000,142.377488585547300000000,2.1070746715675170000000000,9.675129956423206,4519.26269531250000000
9.49137,972,1263,216.440377839903420000000,166.571692209331840000000,1.8010263089780456000000000,7.690341984784162,2100.17333984375000000
6.56474,954,1419,216.406476038607700000000,145.491034630607300000000,2.0619827246516005000000000,4.502758409991954,3161.35253906250000000
11.6902,1688,2508,215.302294543401270000000,144.908402388062740000000,2.0702733247765996000000000,9.619965627860118,4851.71435546875000000
7.34363,998,1578,214.880237319098300000000,135.900175440088800000000,2.2075026689884900000000000,5.13612287651322,3516.36816406250000000
6.49535,1030,1390,213.999186594370460000000,158.574936828922000000000,1.8918500363248065000000000,4.60350175505703,1697.08398437500000000
8.23274,812,1114,212.620736804781470000000,154.980285714077700000000,1.9357300744268107000000000,6.297005559423287,40.75863265991211000
6.62118,578,867,211.741174727880750000000,141.160783151920500000000,2.1252361548400667000000000,4.4959458100342005,352.35955810546875000
7.46979,1054,1581,211.652604485843850000000,141.101736323895900000000,2.1261255021791983000000000,5.343662095477052,2922.27416992187500000
14.592,2356,3081,211.143588776654270000000,161.458713131385080000000,1.8580601454185914000000000,12.733905529935413,1280.79980468750000000
13.1859,1677,2778,210.679228105104700000000,127.181089104485450000000,2.3588412562934997000000000,10.827081366387164,3083.83471679687500000
11.8018,1546,2478,210.602023192576780000000,131.392545543068480000000,2.2832345530718450000000000,9.518558545377863,3838.21655273437500000
7.59861,1203,1583,208.327695435410560000000,158.318520283511620000000,1.8949141228882750000000000,5.703691509893707,4014.96875000000000000
15.9983,1385,2712,207.745266237218710000000,106.094097986190250000000,2.8276785013908080000000000,13.170661151624328,4395.96923828125000000
12.8456,1517,2460,207.178160255768740000000,127.759865491057400000000,2.3481552586715790000000000,10.497462035639945,2780.15966796875000000
14.7995,1938,3011,206.779264088098330000000,133.091402790679040000000,2.2540899991250996000000000,12.545378995015525,3752.21313476562500000
8.77158,904,1312,202.663931741379570000000,139.640391992535900000000,2.1483755217189280000000000,6.623205174387029,1134.23144531250000000
6.43526,957,1302,202.322863344190130000000,148.711966375107470000000,2.0173225283249048000000000,4.4179363370315405,4142.44531250000000000
7.17862,1107,1450,201.988713789854360000000,154.207935286461240000000,1.9454251783003975000000000,5.233193729628069,4863.58740234375000000
